ReceiptID : 98593969 | Receipt Date : 16/05/2023 | Sale Ammount : 52.64 | Sum : 52.64
ReceiptID : 85475826 | Receipt Date : 23/11/2023 | Sale Ammount : 11 | Sum : 63.64
ReceiptID : 89658754 | Receipt Date : 04/07/2023 | Sale Ammount : 110.5 | Sum : 174.14
ReceiptID : 84758496 | Receipt Date : 20/01/2023 | Sale Ammount : 36.33 | Sum : 210.46999999999997
ReceiptID : 74859625 | Receipt Date : 25/02/2023 | Sale Ammount : 5101.4 | Sum : 5311.87
ReceiptID : 95682635 | Receipt Date : 03/10/2023 | Sale Ammount : 9.25 | Sum : 5321.12
ReceiptID : 78452569 | Receipt Date : 06/04/2023 | Sale Ammount : 70 | Sum : 5391.12
ReceiptID : 74852458 | Receipt Date : 07/08/2023 | Sale Ammount : 53 | Sum : 5444.12
ReceiptID : 86593748 | Receipt Date : 28/11/2023 | Sale Ammount : 45 | Sum : 5489.12
ReceiptID : 58978541 | Receipt Date : 30/01/2023 | Sale Ammount : 22.1 | Sum : 5511.22
ReceiptID : 48574853 | Receipt Date : 16/03/2023 | Sale Ammount : 54.57 | Sum : 5565.79
ReceiptID : 69587562 | Receipt Date : 15/04/2023 | Sale Ammount : 24.5 | Sum : 5590.29
ReceiptID : 85687562 | Receipt Date : 15/05/2023 | Sale Ammount : 52.16 | Sum : 5642.45
ReceiptID : 15248763 | Receipt Date : 19/06/2023 | Sale Ammount : 110 | Sum : 5752.45
ReceiptID : 15423625 | Receipt Date : 15/02/2023 | Sale Ammount : 18.6 | Sum : 5771.05
ReceiptID : 85874868 | Receipt Date : 15/03/2023 | Sale Ammount : 1564.37 | Sum : 7335.42
ReceiptID : 85956247 | Receipt Date : 15/10/2023 | Sale Ammount : 67.2 | Sum : 7402.62
ReceiptID : 59623054 | Receipt Date : 22/10/2023 | Sale Ammount : 25.76 | Sum : 7428.38
ReceiptID : 14523054 | Receipt Date : 21/11/2023 | Sale Ammount : 174.56 | Sum : 7602.9400000000005
ReceiptID : 25491845 | Receipt Date : 11/12/2023 | Sale Ammount : 111.6 | Sum : 7714.540000000001
ReceiptID : 75148669 | Receipt Date : 08/08/2023 | Sale Ammount : 1524.92 | Sum : 9239.460000000001
ReceiptID : 85978669 | Receipt Date : 15/08/2023 | Sale Ammount : 46.28 | Sum : 9285.740000000002
ReceiptID : 98659847 | Receipt Date : 26/01/2023 | Sale Ammount : 68.32 | Sum : 9354.060000000001
ReceiptID : 98574854 | Receipt Date : 03/01/2023 | Sale Ammount : 17.7 | Sum : 9371.760000000002
ReceiptID : 78485601 | Receipt Date : 30/03/2023 | Sale Ammount : 44 | Sum : 9415.760000000002
ReceiptID : 89565654 | Receipt Date : 16/04/2023 | Sale Ammount : 61.2 | Sum : 9476.960000000003
ReceiptID : 15485142 | Receipt Date : 16/05/2023 | Sale Ammount : 76.5 | Sum : 9553.460000000003
ReceiptID : 47213527 | Receipt Date : 09/08/2022 | Sale Ammount : 20.89 | Sum : 9574.350000000002
ReceiptID : 58462358 | Receipt Date : 23/08/2022 | Sale Ammount : 579.66 | Sum : 10154.010000000002
ReceiptID : 78496352 | Receipt Date : 10/03/2023 | Sale Ammount : 584.64 | Sum : 10738.650000000001
